measurement number,displacement,cylinders,weight,acceleration,mpg
53,71.0,4,1773,19.0,31.0
54,72.0,4,1613,18.0,35.0
55,97.0,4,1834,19.0,27.0
56,91.0,4,1955,20.5,26.0
57,113.0,4,2278,15.5,24.0
58,97.5,4,2126,17.0,25.0
59,97.0,4,2254,23.5,23.0
60,140.0,4,2408,19.5,20.0
61,122.0,4,2226,16.5,21.0
62,350.0,8,4274,12.0,13.0
63,400.0,8,4385,12.0,14.0
64,318.0,8,4135,13.5,15.0
65,351.0,8,4129,13.0,14.0
66,304.0,8,3672,11.5,17.0
67,429.0,8,4633,11.0,11.0
68,350.0,8,4502,13.5,13.0
69,350.0,8,4456,13.5,12.0
70,400.0,8,4422,12.5,13.0
71,70.0,3,2330,13.5,19.0
72,304.0,8,3892,12.5,15.0
73,307.0,8,4098,14.0,13.0
74,302.0,8,4294,16.0,13.0
75,318.0,8,4077,14.0,14.0
76,121.0,4,2933,14.5,18.0
77,121.0,4,2511,18.0,22.0
78,120.0,4,2979,19.5,21.0
79,96.0,4,2189,18.0,26.0
80,122.0,4,2395,16.0,22.0
81,97.0,4,2288,17.0,28.0
82,120.0,4,2506,14.5,23.0
83,98.0,4,2164,15.0,28.0
84,97.0,4,2100,16.5,27.0
85,350.0,8,4100,13.0,13.0
86,304.0,8,3672,11.5,14.0
87,350.0,8,3988,13.0,13.0
88,302.0,8,4042,14.5,14.0
89,318.0,8,3777,12.5,15.0
90,429.0,8,4952,11.5,12.0
91,400.0,8,4464,12.0,13.0
92,351.0,8,4363,13.0,13.0
93,318.0,8,4237,14.5,14.0
94,440.0,8,4735,11.0,13.0
95,455.0,8,4951,11.0,12.0
96,360.0,8,3821,11.0,13.0
97,225.0,6,3121,16.5,18.0
98,250.0,6,3278,18.0,16.0
99,232.0,6,2945,16.0,18.0
100,250.0,6,3021,16.5,18.0
101,198.0,6,2904,16.0,23.0
102,97.0,4,1950,21.0,26.0
103,400.0,8,4997,14.0,11.0
104,400.0,8,4906,12.5,12.0
105,360.0,8,4654,13.0,13.0
106,350.0,8,4499,12.5,12.0
107,232.0,6,2789,15.0,18.0
108,97.0,4,2279,19.0,20.0
109,140.0,4,2401,19.5,21.0
110,108.0,4,2379,16.5,22.0
111,70.0,3,2124,13.5,18.0
112,122.0,4,2310,18.5,19.0
113,155.0,6,2472,14.0,21.0
114,98.0,4,2265,15.5,26.0
115,350.0,8,4082,13.0,15.0
116,400.0,8,4278,9.5,16.0
117,68.0,4,1867,19.5,29.0
118,116.0,4,2158,15.5,24.0
119,114.0,4,2582,14.0,20.0
120,121.0,4,2868,15.5,19.0
121,318.0,8,3399,11.0,15.0
122,121.0,4,2660,14.0,24.0
123,156.0,6,2807,13.5,20.0
124,350.0,8,3664,11.0,11.0
125,198.0,6,3102,16.5,20.0
126,200.0,6,2875,17.0,21.0
127,232.0,6,2901,16.0,19.0
128,250.0,6,3336,17.0,15.0
129,79.0,4,1950,19.0,31.0
130,122.0,4,2451,16.5,26.0
131,71.0,4,1836,21.0,32.0
132,140.0,4,2542,17.0,25.0
133,250.0,6,3781,17.0,16.0
134,258.0,6,3632,18.0,16.0
135,225.0,6,3613,16.5,18.0
136,302.0,8,4141,14.0,16.0
137,350.0,8,4699,14.5,13.0
138,318.0,8,4457,13.5,14.0
139,302.0,8,4638,16.0,14.0
140,304.0,8,4257,15.5,14.0
141,98.0,4,2219,16.5,29.0
142,79.0,4,1963,15.5,26.0
143,97.0,4,2300,14.5,26.0
144,76.0,4,1649,16.5,31.0
145,83.0,4,2003,19.0,32.0
146,90.0,4,2125,14.5,28.0
147,90.0,4,2108,15.5,24.0
148,116.0,4,2246,14.0,26.0
149,120.0,4,2489,15.0,24.0
150,108.0,4,2391,15.5,26.0
151,79.0,4,2000,16.0,31.0
152,225.0,6,3264,16.0,19.0
153,250.0,6,3459,16.0,18.0
154,250.0,6,3432,21.0,15.0
155,250.0,6,3158,19.5,15.0
156,400.0,8,4668,11.5,16.0
157,350.0,8,4440,14.0,15.0
158,318.0,8,4498,14.5,16.0
159,351.0,8,4657,13.5,14.0
160,231.0,6,3907,21.0,17.0
161,250.0,6,3897,18.5,16.0
162,258.0,6,3730,19.0,15.0
163,225.0,6,3785,19.0,18.0
164,231.0,6,3039,15.0,21.0
165,262.0,8,3221,13.5,20.0
166,302.0,8,3169,12.0,13.0
167,97.0,4,2171,16.0,29.0
168,140.0,4,2639,17.0,23.0
169,232.0,6,2914,16.0,20.0
170,140.0,4,2592,18.5,23.0
171,134.0,4,2702,13.5,24.0
172,90.0,4,2223,16.5,25.0
173,119.0,4,2545,17.0,24.0
174,171.0,6,2984,14.5,18.0
175,90.0,4,1937,14.0,29.0
176,232.0,6,3211,17.0,19.0
177,115.0,4,2694,15.0,23.0
178,120.0,4,2957,17.0,23.0
179,121.0,4,2945,14.5,22.0
180,121.0,4,2671,13.5,25.0
181,91.0,4,1795,17.5,33.0
182,107.0,4,2464,15.5,28.0
183,116.0,4,2220,16.9,25.0
184,140.0,4,2572,14.9,25.0
185,98.0,4,2255,17.7,26.0
186,101.0,4,2202,15.3,27.0
187,305.0,8,4215,13.0,17.5
188,318.0,8,4190,13.0,16.0
189,304.0,8,3962,13.9,15.5
190,351.0,8,4215,12.8,14.5
191,225.0,6,3233,15.4,22.0
192,250.0,6,3353,14.5,22.0
193,200.0,6,3012,17.6,24.0
194,232.0,6,3085,17.6,22.5
195,85.0,4,2035,22.2,29.0
196,98.0,4,2164,22.1,24.5
197,90.0,4,1937,14.2,29.0
198,91.0,4,1795,17.4,33.0
199,225.0,6,3651,17.7,20.0
200,250.0,6,3574,21.0,18.0
201,250.0,6,3645,16.2,18.5
202,258.0,6,3193,17.8,17.5
203,97.0,4,1825,12.2,29.5
204,85.0,4,1990,17.0,32.0
205,97.0,4,2155,16.4,28.0
206,140.0,4,2565,13.6,26.5
207,130.0,4,3150,15.7,20.0
208,318.0,8,3940,13.2,13.0
209,120.0,4,3270,21.9,19.0
210,156.0,6,2930,15.5,19.0
211,168.0,6,3820,16.7,16.5
212,350.0,8,4380,12.1,16.5
213,350.0,8,4055,12.0,13.0
214,302.0,8,3870,15.0,13.0
215,318.0,8,3755,14.0,13.0
216,98.0,4,2045,18.5,31.5
217,111.0,4,2155,14.8,30.0
218,79.0,4,1825,18.6,36.0
219,122.0,4,2300,15.5,25.5
220,85.0,4,1945,16.8,33.5
221,305.0,8,3880,12.5,17.5
222,260.0,8,4060,19.0,17.0
223,318.0,8,4140,13.7,15.5
224,302.0,8,4295,14.9,15.0
225,250.0,6,3520,16.4,17.5
226,231.0,6,3425,16.9,20.5
227,225.0,6,3630,17.7,19.0
228,250.0,6,3525,19.0,18.5
229,400.0,8,4220,11.1,16.0
230,350.0,8,4165,11.4,15.5
231,400.0,8,4325,12.2,15.5
232,351.0,8,4335,14.5,16.0
233,97.0,4,1940,14.5,29.0
234,151.0,4,2740,16.0,24.5
235,97.0,4,2265,18.2,26.0
236,140.0,4,2755,15.8,25.5
237,98.0,4,2051,17.0,30.5
238,98.0,4,2075,15.9,33.5
239,97.0,4,1985,16.4,30.0
240,97.0,4,2190,14.1,30.5
241,146.0,6,2815,14.5,22.0
242,121.0,4,2600,12.8,21.5
243,80.0,3,2720,13.5,21.5
244,90.0,4,1985,21.5,43.1
245,98.0,4,1800,14.4,36.1
246,78.0,4,1985,19.4,32.8
247,85.0,4,2070,18.6,39.4
248,91.0,4,1800,16.4,36.1
249,260.0,8,3365,15.5,19.9
250,318.0,8,3735,13.2,19.4
251,302.0,8,3570,12.8,20.2
252,231.0,6,3535,19.2,19.2
253,200.0,6,3155,18.2,20.5
254,200.0,6,2965,15.8,20.2
255,140.0,4,2720,15.4,25.1
256,225.0,6,3430,17.2,20.5
257,232.0,6,3210,17.2,19.4
258,231.0,6,3380,15.8,20.6
259,200.0,6,3070,16.7,20.8
260,225.0,6,3620,18.7,18.6
261,258.0,6,3410,15.1,18.1
262,305.0,8,3425,13.2,19.2
263,231.0,6,3445,13.4,17.7
264,302.0,8,3205,11.2,18.1
265,318.0,8,4080,13.7,17.5
266,98.0,4,2155,16.5,30.0
267,134.0,4,2560,14.2,27.5
268,119.0,4,2300,14.7,27.2
269,105.0,4,2230,14.5,30.9
270,134.0,4,2515,14.8,21.1
271,156.0,4,2745,16.7,23.2
272,151.0,4,2855,17.6,23.8
273,119.0,4,2405,14.9,23.9
274,131.0,5,2830,15.9,20.3
275,163.0,6,3140,13.6,17.0
276,121.0,4,2795,15.7,21.6
277,163.0,6,3410,15.8,16.2
278,89.0,4,1990,14.9,31.5
279,98.0,4,2135,16.6,29.5
280,231.0,6,3245,15.4,21.5
281,200.0,6,2990,18.2,19.8
282,140.0,4,2890,17.3,22.3
283,232.0,6,3265,18.2,20.2
284,225.0,6,3360,16.6,20.6
285,305.0,8,3840,15.4,17.0
286,302.0,8,3725,13.4,17.6
287,351.0,8,3955,13.2,16.5
288,318.0,8,3830,15.2,18.2
289,350.0,8,4360,14.9,16.9
290,351.0,8,4054,14.3,15.5
291,267.0,8,3605,15.0,19.2
292,360.0,8,3940,13.0,18.5
293,89.0,4,1925,14.0,31.9
294,86.0,4,1975,15.2,34.1
295,98.0,4,1915,14.4,35.7
296,121.0,4,2670,15.0,27.4
297,183.0,5,3530,20.1,25.4
298,350.0,8,3900,17.4,23.0
299,141.0,4,3190,24.8,27.2
300,260.0,8,3420,22.2,23.9
301,105.0,4,2200,13.2,34.2
302,105.0,4,2150,14.9,34.5
303,85.0,4,2020,19.2,31.8
304,91.0,4,2130,14.7,37.3
305,151.0,4,2670,16.0,28.4
306,173.0,6,2595,11.3,28.8
307,173.0,6,2700,12.9,26.8
308,151.0,4,2556,13.2,33.5
309,98.0,4,2144,14.7,41.5
310,89.0,4,1968,18.8,38.1
311,98.0,4,2120,15.5,32.1
312,86.0,4,2019,16.4,37.2
313,151.0,4,2678,16.5,28.0
314,140.0,4,2870,18.1,26.4
315,151.0,4,3003,20.1,24.3
316,225.0,6,3381,18.7,19.1
317,97.0,4,2188,15.8,34.3
318,134.0,4,2711,15.5,29.8
319,120.0,4,2542,17.5,31.3
320,119.0,4,2434,15.0,37.0
321,108.0,4,2265,15.2,32.2
322,86.0,4,2110,17.9,46.6
323,156.0,4,2800,14.4,27.9
324,85.0,4,2110,19.2,40.8
325,90.0,4,2085,21.7,44.3
326,90.0,4,2335,23.7,43.4
327,121.0,5,2950,19.9,36.4
328,146.0,4,3250,21.8,30.0
329,91.0,4,1850,13.8,44.6
330,85.0,4,1835,17.3,40.9
331,97.0,4,2145,18.0,33.8
332,89.0,4,1845,15.3,29.8
333,168.0,6,2910,11.4,32.7
334,70.0,3,2420,12.5,23.7
335,122.0,4,2500,15.1,35.0
336,140.0,4,2905,14.3,23.6
337,107.0,4,2290,17.0,32.4
